Commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Rice,75.2,78.1,73.7,76.1,85.1,85.1,91.1,91,69.1,95.1,100,104.6,107.1,109,117,117.9,123.7,131.1,135.7,131.3,127.3,134.7,100,102.3,105.2,95.2,92.5,101.1,100,98.7
Corn,107.6,103.2,102.4,106.4,100.2,91.5,92,96,84.8,101.6,100,100.3,95.7,102.3,120,116.4,134.8,149.3,153.6,155.9,141.4,154.5,100,99.6,104.9,96.7,92.9,101.8,100,102.7
Sweet Potato,116.2,114.5,117,119,120.5,120.6,118.1,114,100.1,100.6,100,98.4,99.2,98.7,98.4,103.7,102.3,103.6,103.4,101.2,97.7,93.2,100,102.2,100.6,102,100.7,102.2,100,100
Cassava,105,102.8,101,104.4,107.1,107.9,108.2,110.9,98.2,107.1,100,93.6,92.1,91.9,92.9,95,99.5,106,110,115.7,119,125.1,100,106.2,114.3,99.7,101.2,103.1,100,96.6
Pork,68,69.7,69.7,72.7,76,80,85.5,89.5,92.7,96.6,100,104.4,109.9,114.2,112.6,116.7,121,124.2,122.3,123.7,125,127.8,100,102,103,91.4,96.2,97.6,100,99
Chicken,50.2,53.8,66.9,68.4,70.6,75,85.4,93.2,92.1,93.1,100,110,117.6,119,123.3,121.7,120.7,121.2,128.2,130.2,135.4,141.5,100,105.1,106.2,90.4,91.2,95.1,100,104.9
Chicken Egg,69.3,70.2,74.2,83,80.6,82.1,84.5,91.6,93.3,94.5,100,101.4,107.2,112.9,121.9,131.6,135.7,137.7,144.1,151.4,159.1,165.8,100,101.6,98.7,83.3,86.5,92.2,100,109.2
Tilapia,80.2,79.3,91.1,99.1,88.9,84.3,80,92.9,78.6,89.8,100,111.7,126,138.4,146.4,161,199.1,229.6,246.9,250.6,250.1,249.6,100,103.2,101.8,97.1,93.7,96.9,100,100
Milkfish,101.7,112.8,83.1,72.4,79.1,75.4,73.2,77,78.7,86.1,100,107.3,110.6,117.8,130.5,137.9,151.6,167.5,168.7,169.8,170.3,180,100,103.7,102.7,98.2,100.6,104.1,100,103.7
